PDB	Name
6J21	mini-T4L
6JOD	BRIL
6JZH	BRIL
6K1Q	T4-Lysozyme
6K41	T4-Lysozyme
6KJV	Endolysin
6KK1	T4-Lysozyme
6KK7	T4-Lysozyme
6KK7	BRIL
6KNM	Rubredoxin
6KO5	BRIL
6KP6	PGS (Pyrococcus abyssi glycogen synthase)
6KPC	Endolysin (T4-Lysozyme)
6KPF	BRIL
6KPG	BRIL
6KQI	GlgA glycogen synthase
6LFL	GlgA glycogen synthase (PGS)
6LI0	Flavodoxin
6LI1	Flavodoxin
6LI2	Rubredoxin
6LPJ	BRIL
6LPK	BRIL
6LRY	T4-Lysozyme
6LUQ	T4-Lysozyme
6LW5	BRIL
6M9T	T4-Lysozyme
6ME2	GlgA glycogen synthase
6ME3	GlgA glycogen synthase
6ME4	Pyrococcus abyssi glycogen synthase (PGS)
6ME5	Pyrococcus abyssi glycogen synthase (PGS)
6ME8	BRIL
6ME8	Rubredoxin
6ME9	BRIL
6ME9	Rubredoxin
6MH8	BRIL
6MXT	T4-Lysozyme
6N48	T4-Lysozyme
6NI3	T4-Lysozyme
6OBA	T4-Lysozyme
6OL9	T4-Lysozyme
6OS0	BRIL
6OS1	BRIL
6OS2	BRIL
6PRZ	T4-Lysozyme
6PS0	T4-Lysozyme
6PS1	T4-Lysozyme
6PS2	T4-Lysozyme
6PS3	T4-Lysozyme
6PS4	T4-Lysozyme
6PS5	T4-Lysozyme
6PS6	T4-Lysozyme
6PS7	BRIL
6PS8	GlgA glycogen synthase
6QZH	Sialidase NanA
6RZ4	BRIL
6RZ6	BRIL
6RZ7	BRIL
6RZ8	BRIL
6RZ9	BRIL
6S0L	BRIL
6S0Q	BRIL
6TPG	GlgA glycogen synthase
6TPK	Pyrococcus abysii glycogen synthase (PGS)
6TPN	GlgA glycogen synthase
6V9S	GlgA glycogen synthase
6VN7	LgBiT
6VN7	HiBiT
6W25	Pyrococcus abyssi glycogen synthase (PGS)
6WGT	BRIL
6WJC	T4-Lysozyme
6WQA	BRIL
6WW2	BRIL
6WWZ	BRIL
6Z4Q	DARPin D12
6Z4S	DARPin D12
6Z4V	DARPin D12
6Z66	DARPin D12
6ZA8	DARPin-D12
6ZDR	BRIL
6ZDV	BRIL
6ZFZ	T4-Lysozyme (Endolysin)
6ZG4	T4-Lysozyme
6ZG9	Endolysin (T4-Lysozyme)
6ZIN	DARPin D12
7ARO	BRIL
7BR3	GlgA glycogen synthase
7BTS	T4-Lysozyme
7BU6	T4-Lysozyme
7BU7	T4-Lysozyme
